Root Chord,Taper,Sweep,Twist,Wingspan,CL,CD,L_D
16.11111111111111,0.9,30.0,0.0,70.0,0.693948389966,0.048481571805,14.313652881494072
16.11111111111111,0.9,30.0,0.0,90.0,0.749068401077,0.0464172457,16.137717561233927
16.11111111111111,0.9,30.0,0.0,110.0,0.787403942077,0.044132105854,17.841975288510557
16.11111111111111,0.9,30.0,0.0,130.0,0.802473029364,0.039033254615,20.55870147849827
16.11111111111111,0.9,30.0,0.0,150.0,0.824473869531,0.037098161153,22.22411688090712
16.11111111111111,1.0,0.0,0.0,50.0,0.625645578457,0.055346613943,11.30413468656521
16.11111111111111,1.0,0.0,0.0,70.0,0.726857430096,0.05372150756,13.530101129127733
16.11111111111111,1.0,0.0,0.0,90.0,0.795436478649,0.05164247739,15.40275600339475
16.11111111111111,1.0,0.0,0.0,110.0,0.84971824485,0.05046529414,16.837675462521343
16.11111111111111,1.0,0.0,0.0,130.0,0.890036028344,0.048711078304,18.27173734051609
16.11111111111111,1.0,0.0,0.0,150.0,0.919682711164,0.04680297346,19.6500915043358
16.11111111111111,1.0,10.0,0.0,50.0,0.62170723803,0.054496505268,11.408203791648685
16.11111111111111,1.0,10.0,0.0,70.0,0.720049186618,0.053046066915,13.574035333699536
16.11111111111111,1.0,10.0,0.0,90.0,0.790752428978,0.051739099677,15.283459393660836
16.11111111111111,1.0,10.0,0.0,110.0,0.840728090329,0.049770040878,16.892252356992326
16.11111111111111,1.0,10.0,0.0,130.0,0.881019091326,0.048491877479,18.16838483326483
16.11111111111111,1.0,10.0,0.0,150.0,0.910117564664,0.046485226101,19.578641237251535
